link,question,label,Simplified Text
https://carnegiemoscow.org/commentary/54364,is russia the true defender of traditional values?,0,"Title: Russia’s Newly Designed Traditional Values
The anti-gay campaign may have helped the Kremlin to pit the conservative majority against the excessively modernized trouble-makers. But the wave of negative publicity this campaign is generating has taken a heavy toll on the image of Russia in general, and the Sochi Olympics in particular. By Maria Lipman
Published on January 30, 2014.
Twenty seven Nobel Laureates signed a letter demanding that Russia repeal its ban on “propaganda of nontraditional relations among minors.” In Russia, however, it is not uncommon to think that the ban is actually not enough. For instance, the creative director of Russia’s largest mobile phone retailer says he’d burn gays in the furnace alive. In early January he wrote an open letter to President Putin calling for recriminalization of gay sex among men (such a law existed in the Soviet Union and was abolished in post-Communist Russia just over two decades ago). A high-ranking representative of the Russian Orthodox Church says it’s a good idea and suggests that Russia hold a national referendum on the recriminalization of gay sex. A popular TV anchor also said earlier that the infamous ban on “gay propaganda” is too weak a measure against the gay evil. His suggestion: gays “should be prohibited from donating blood or sperm. And their hearts, in the case of a car accident, should be buried, or burned, as unfit for extending anyone’s life.”

In the past year social conservatism and reliance on “traditional values” have become all but an official ideology in Russia. In his annual Address to the Federal Assembly in December President Vladimir Putin spoke about Russia as defending “the values of traditional families, real human life, including religious life” against those nations that “revise their moral values and ethical norms.” Putin’s stance even won him praise from Pat Buchanan who approvingly referred to the Russian president as “one of us.”

In fact Russia’s claim for moral authority, especially as a defender of religious life, sounds false. While the Western secularization may have indeed undermined some of the traditional Christian values, in Bolshevik Russia religion had been abolished, churches were destroyed, and many thousands of priests and bishops executed (of course the clergy were but one out of many social groups that the Communist regime exterminated). Today Putin’s government, however, would rather lash out at the West for immorality and decadence, than condemn the Soviet perpetrators of terror for their heinous crimes.

The current shift toward moral conservatism is apparently driven by political motives. It was a response to the rise of a politically defiant minority that took to the streets in 2011 and 2012 chanting “Russia without Putin.” The Kremlin responded with a general crackdown and a propaganda campaign aimed to discredit its opponents in the eyes of the more conservative and loyal majority.

Russian conservatism shouldn’t be overestimated, however, as applies to sex and family issues. Buchanan would be surprised to know that Russia has the world’s highest rate of abortions. Divorce rate is quite similar to that in the United States (Putin himself divorced just last year). Extra- or premarital sex is hardly shocking to anyone. It is in their perception of gays that the Russian people are radically more conservative than their western counterparts. And that made gays a useful target for the Kremlin.

Ironically it was the ban on “gay-propaganda,” not gay activism that pushed the issue of gay rights to the fore. The gay constituency in Russia had generally kept low profile, and the attitude of the society at large was mostly that of “don’t ask, don’t tell.” Now the infamous law unleashed all kinds of aggressive loyalists and obscurantists and even provoked physical violence against gays. And as the Sochi Olympics drew closer and attracted more attention to Russia, the outrage in the West grew increasingly louder.

The anti-gay campaign may have helped the Kremlin to pit the conservative majority against the excessively modernized trouble-makers. These days those who dare oppose the Kremlin’s conservative laws and policies are readily branded as “unpatriotic” and undermining the Russian “traditional values.” However, the wave of negative publicity this campaign is generating has taken a heavy toll on the image of Russia in general, and the Sochi Olympics in particular. But an even graver damage is done to the national development by the alienation of the younger, independent-minded, energetic, and modernized Russians."
https://tass.com/politics/1700451,is russia the true defender of traditional values?,1,"Title: Russia seen by many in world as keeper of traditional values — Lavrov

""Russia as a civilization state will continue to uphold the moral foundations of international relations and to promote the principles of honesty, truth, good and justice in international affairs,"" the Russian foreign minister underscored. MOSCOW, November 1. /TASS/. 

An increasing number of people around the world not only sympathize with Russia, but also view it as a defender of enduring traditions and strong values, Russian Foreign Minister Sergey Lavrov said at the World Thematic Conference of Russian Compatriots Living Abroad.

""Russia as a civilization state will continue to uphold the moral foundations of international relations and to promote the principles of honesty, truth, good and justice in international affairs. Reliance on the ideals that are shared by the main religions and cultures, respect for the identities of nations and their right to their own development paths are major factors in searching for the best answers to the numerous modern-day challenges and threats. This creative policy enjoys broad support in the international community. A growing number of people, including in Europe, not only have a liking for Russia but also regard it as the defender of enduring traditions and real values,"" the minister said.

Lavrov emphasized that domestic diplomacy, relying on the unique experience accumulated by Russian people from all walks of life living in peaceful harmony, ""will continue to consistently advocate a peaceful, positive and balanced agenda in the interests of promoting conflict resolution and creating a fairer architecture of international relations, which should reflect the diversity and stability of the modern world and ensure the best possible external conditions for the internal development of"" Russia.

The Russian foreign minister drew attention to the fact that Western countries are eroding traditional values and rewriting the basic norms of morality. ""They are aggressively encouraging all-permissiveness, tolerance taken to the point of absurdity and various destructive patterns of behavior. They are adopting bans on religious symbols. The EU pretends not to see blasphemous actions with regard to Muslim relics and the destruction of Orthodoxy, which is no exaggeration,"" Lavrov noted. ""This policy is being conducted contrary to the aspirations of the majority of people, is doing irreparable damage to their moral health, is eroding their civilizational roots and leading to disengagement, depersonalization and the self-destruction of society. The worst effect of this is the growth of radicalism, aggressive nationalism, xenophobia and intolerance,"" the foreign minister added.

Lavrov also pointed out that the ongoing attempts to impose these so-called values which are alien to other peoples by the neo-liberal elite in the West are deeply disturbing."
https://www.themoscowtimes.com/2022/11/09/russia-vows-to-defend-traditional-values-against-us-and-gay-propaganda-a79334,is russia the true defender of traditional values?,0,"Title: Russia Vows to Defend 'Traditional Values' Against 'Gay Propaganda'
Russia on Wednesday vowed to defend its ""traditional"" values against threats from the United States and so-called ""gay propaganda"" in a document signed by President Vladimir Putin.

The presidential decree, setting out official policy and entering force immediately, stresses the importance of ""traditional values as the basis of Russian society.""

It warns that Moscow must take ""urgent measures"" to ward off threats including those posed by terrorist groups, ""certain mass media"" and ""the United States and other unfriendly foreign countries.""

It also lists internal threats from ""the activities of certain organizations and people on Russian soil.""

These foes risk implanting ""alien"" ideas in Russian society and causing ""the destruction of the traditional family unit through the propaganda of nontraditional sexual relationships,"" the decree says, using a phrase used by the Kremlin to refer to LGBTQ relationships.

The Orthodox Church welcomed the document as a way to ""preserve our people and protect our children from being defiled,"" senior cleric Fyodor Lukyanov told state-run news agency TASS.

The mission statement comes as Russian lawmakers are pushing through amendments to toughen up a controversial 2013 law banning ""gay propaganda"" to minors, rewriting it to include adults as well.

Rights campaigners say the new amendments mean, in effect, that any public mention of same-sex relationships is being criminalized. 

Putin's new decree also warns that the country's enemies are distorting ""historical truth.""

The former KGB agent has sought to associate his regime with Soviet-era successes and has gradually cracked down on the rights and freedoms gained after the breakup of the Soviet Union."
https://www.independent.co.uk/news/world/europe/president-vladimir-putin-hails-russia-s-defence-of-traditional-values-in-his-state-of-the-nation-speech-9001470.html,is russia the true defender of traditional values?,0,"Title: President Vladimir Putin hails Russia's 'defence of traditional values' in his state of the nation speech
Mr Putin criticised the West's more liberal attitudes toward gay rights and US attempts at intervention in Syria

President Vladimir Putin has painted a picture of Russia as the world's last bastion against countries bent upon destroying traditional values in his annual state of the nation speech at the Kremlin.

In a ceremony full of pomp and circumstance, Mr Putin made a particularly thinly-veiled attack on the West's more liberal attitudes toward gay rights, saying Russia would defend against “genderless and fruitless so-called tolerance” which he said allows “good and evil” to be equal.

“In many countries today, moral and ethical norms are being reconsidered; national traditions, differences in nation and culture are being erased,” Putin said, speaking in a gilded Kremlin hall packed with hundreds of officials, journalists and other public figures.

“They're now requiring not only the proper acknowledgement of freedom of conscience, political views and private life, but also the mandatory acknowledgement of the equality of good and evil, which are inherently contradictory concepts,” he said.

In contrast, more and more people around the world are supporting Russia's “defence of traditional values,” the president argued. In addition to a recent blasphemy law, Russia passed a controversial law against “gay propaganda” in June - a vague term for behaviour seen to “promote” homosexuality to minors. Activists say the law in essence condones homophobia and violence.

The passing of the law has also cast doubt on the treatment of LGBT spectators and athletes at the forthcoming Winter Olympics in Sochi, where Russian officials have said repeatedly that the “gay propaganda” law will be enforced.

Russian Orthodox spiritual leader Patriarch Kirill sat front and centre in the first row for the speech, which took place on the 20th anniversary of the Russian constitution.

Mr Putin also took a swipe at the United States for its perceived imperialist foreign policy and meddling in Russia's sphere of influence, noting that Russia does “not aspire to be called some kind of superpower.”

“We do not infringe on anyone's interests, we do not force our patronage on anyone, or try to teach anyone how to live,” Mr Putin said, in an apparent reference to criticisms he has made previously against the US.

Mr Putin also said Russia had facilitated “international law, common sense and the logic of peace,” in an apparent reference to his role in averting US intervention in Syria, a deal that resulted in Forbes magazine naming the Russian president the most influential person in the world, ahead of US President Barack Obama.

The latest disagreement between the former Cold War foes has involved restive Ukraine, where the capital has been beset by three weeks of anti-government protests after President Viktor Yanukovich abruptly reversed course on an expected Association Agreement with the European Union. US Assistant Secretary of State Victoria Nuland handed out cookies to protesters in Kiev's Independence Square on Wednesday as lawmakers said they would adopt sanctions against Ukraine if violence against protesters escalates.

Meanwhile, Mr Putin met with Yanukovich last week to discuss a deal on trade and economic cooperation that could alleviate financial woes of Ukraine.

“We're not forcing anything on anyone,” Mr Putin said about Russia's Customs Union with Belarus and Kazakhstan and the possibility that Ukraine will join it. Deputy Prime Minister Igor Shuvalov also admitted on Thursday that Moscow had acted “harshly” but within the law in forcing Ukraine to choose between East and West.

In his speech, Mr Putin notably did not mention the amnesty legislation that he introduced to the parliament on the occasion of the constitutional anniversary, which could pardon thousands of non-violent prisoners including two Pussy Riot members jailed for their “punk prayer” in a Moscow cathedral. Instead, he dwelled extensively on issues of healthcare, education and housing, and said that parts of the constitution need to be changed, especially as regarding municipal governance.

In continuing the theme of Russia-under-siege, Mr Putin blamed internal ethnic strife on an “amoral internationale” made up of “out-of-hand, overbold immigrants from some southern regions, corrupt law enforcement officials who protect ethnic mafias, and so-called Russian nationalists, so-called separatists, ready to turn any tragedy into an excuse for vandalism and bloody rows.”

The statement was an obvious reference to the anti-immigrant rioting that has gripped various Russian cities this year and struck Moscow in October after an Azerbaijani immigrant was accused of killing a Russian man during an argument.

"
https://www.atlanticcouncil.org/blogs/new-atlanticist/russian-war-report-russia-defends-traditional-values-criminalizes-lgbtq-propaganda/,is russia the true defender of traditional values?,0,"Title: Russian War Report: Russia defends ‘traditional values,’ criminalizes LGBTQ ‘propaganda’
By Digital Forensic Research Lab

As Russia continues its assault on Ukraine, the Atlantic Council’s Digital Forensic Research Lab (DFRLab) is keeping a close eye on Russia’s movements across the military, cyber, and information domains. With more than seven years of experience monitoring the situation in Ukraine—as well as Russia’s use of propaganda and disinformation to undermine the United States, NATO, and the European Union—the DFRLab’s global team presents the latest installment of the Russian War Report.

Russia defends “traditional values” as a national security matter, criminalizes LGBTQ “propaganda”
On November 9, Russian President Vladimir Putin signed an executive order enacting “The Fundamentals of State Policy for the Preservation and Strengthening of Traditional Russian Spiritual and Moral Values.”  

The presidential decree states that “Russian traditional values” are the matter of the national security. It defines seventeen principles:  

“Life, dignity, human rights and freedoms, patriotism, civic consciousness, service to the homeland and responsibility for its fate, high moral ideals, strong family, constructive work, prioritization of the spiritual over the material, humanism, mercifulness, fairness, collectivism, mutual assistance and respect, historical memory and continuity of generations, unity of the peoples of Russia.” 
According to the decree, the leading threats to traditional values include “terrorist and extremist organizations, certain mass media and mass communications, activities of the United States and other unfriendly countries, a number of transnational corporations and foreign non-profit organizations, as well as certain organizations and individuals in Russia.” It further notes that the destruction of traditional Russian family with “the propaganda of non-traditional sexual relations” has caused negative ideological and psychological impacts among the Russian populace. The Kremlin plans to counter these “threats” through educational reform, as well as working with youth and media outlets, among other measures. 

According to Russian publicist Boris Yakemenko, the Russian constitution does not include an article on official state ideology, so the latest presidential decree is likely a first step towards “formation of the country’s ideology.” 

The decree comes in the wake of Russian lawmakers unanimously passing a legislative amendment regarding “the prohibition of propaganda of non-traditional sexual relations.” A previous version of the anti-LGBTQ law banned the spread of “gay propaganda” to minors; the amendment expands the prohibition to all age groups. The restriction applies to advertisements, movies, and other media. People found guilty of violating the ban face a fine of 400,000 rubles (USD $6,600) while legal entities could be penalized upwards of five million rubles (USD $82,000). 

Russia has already targeted individuals and entities for “propagating non-traditional sexual values.” Some of the latest instances include opening three cases against TikTok, as well as investigating controversial Russian TV personality Ksenia Sobchak.  

Over the summer, Russia revealed plans to construct an online surveillance system that could hunt down “homosexual propaganda,” among other “prohibited data.” In addition, Runiversalis – the Russian analog of the internet encyclopedia Wikipedia – announced that it will not allow “homosexual propaganda” on its platform.  

Russia has long attempted to justify its efforts to defend Russian “traditional values” against Western values, employing the narrative to justify and whitewash its invasion of Ukraine.

—Eto Buziashvili, Research Associate, Tbilisi, Georgia            "
https://geopolitics.co/2022/03/30/towards-a-multipolar-fair-world-order/,does russia genuinely advocate for a fair multipolar world order?,1,"Title: Towards a Multipolar, Fair World Order. Russian Foreign Minister Sergei Lavrov arrived in the Chinese district of Tunx for talks with Chinese Foreign Minister Wang Yi.Russian Foreign Minister Sergei Lavrov said that amid the current, serious stage in the history of international relations, Russia and China will move to a multipolar, fair world order.“We are going through a very serious stage in the history of international relations. I am convinced that as a result of this stage, the international situation will become clearer significantly and we will move together with you, together with our other like-minded people, towards a multipolar, just, democratic world order,” he said.Russia is interested in developing relations with China steadily and consistently, Lavrov added.“We are interested in our relations with China continuing to develop steadily and consistently. Our leaders, President Putin and President Xi Jinping, have agreed on this. Today we will consider specific steps aimed at ensuring that all these agreements are consistently implemented,” the foreign minister stressed.Lavrov also drew attention to the fact that this is already his second meeting with his Chinese counterpart, which underlines the intensity and confidential nature of the regular dialogue.In turn, Chinese Foreign Minister Wang Yi said at a meeting with Sergei Lavrov on Wednesday that relations between Russia and China since the beginning of the year have withstood new tests.“Since the beginning of this year, Chinese-Russian relations have withstood new tests of serious changes in the international situation, and have maintained the right direction and a steady development trend,” Wang Yi said.Russian Foreign Minister Sergey Lavrov and Chinese Foreign Minister Wang Yi have noted the counterproductiveness of illegal unilateral sanctions imposed against Russia by the US and its allies during talks in China, the Russian foreign ministry said.“The sides noted the counterproductive nature of the illegal unilateral sanctions imposed on Russia by the United States and its satellites,” the ministry said in a statement.The ministers also discussed the situation on the Korean Peninsula during the meeting, the statement added.Sergei Lavrov is in China on a two-day visit, during which he will take part in the third ministerial conference between Afghanistan and the expanded “troika” on Afghanistan (Russia, China, the United States and Pakistan).SputnikNews| Sputnik International’s predecessors are the state-run news agency RIA Novosti and the Voice of Russia radio service, which were disbanded in 2013."
https://rs.gov.ru/en/news/argentine-experts-spoke-out-for-fair-multipolar-world-without-colonialism-and-oppression/,does russia genuinely advocate for a fair multipolar world order?,1,"Title: Argentine experts spoke out for fair multipolar world without colonialism and oppression.

At the Russian House in Buenos Aires, as part of the “Russia in a Multipolar World” series, a conference “The Malvinas Question in the Context of 21st Century Colonialism” was held with the participation of leading Argentine experts who condemned Anglo-Saxon imperialism, which, according to them, is behind the majority of armed conflicts in the world.

They underlined that of the 17 territories on the planet that remain deprived of sovereignty, 10 belong to Great Britain. According to them, the armed conflict involving the Malvinas Islands, rightfully belonging to Argentina, was provoked by Great Britain and essentially became the “first war for Antarctica.” They stressed that the British military base in the Malvinas Islands poses a direct threat to the security of Argentina and South America.

Experts noted that at the time the West made every effort to convince the rest of the world that Argentina was an aggressor in an armed conflict with Great Britain and is now doing the same with Russia, which is trying to put an end to the war unleashed in Ukraine by the West itself against the people of Donbass.

They emphasized that the USSR provided assistance to Argentina in the conflict with Great Britain in 1982 with information from satellites, and also recalled that it was the Soviet fishing trawler Belokamensk that was the first to come to the aid of Argentine sailors from the cruiser General Belgrano, which was torpedoed by a British submarine. 323 people died that day, which is about half of all Argentine casualties in the war with Great Britain."
https://kolozeg.org/sergey-lavrov-russia-china-moving-towards-multipolar-fair-world-order/,does russia genuinely advocate for a fair multipolar world order?,2,"Title: Sergey Lavrov: Russia, China Moving Towards Multipolar ‘Fair World Order’

Russian Foreign Minister Sergei Lavrov met with his Chinese counterpart on Wednesday, where he said the two are carving a path towards a ‘fairer world order.’

The meeting between Lavrov and Chinese Foreign Minister Wang Yi, marks the first visit to a key ally since Russia launched its invasion of Ukraine on February 24, according to The Economic Times.

The two countries will work to achieve “a multipolar, fair, and democratic world order,” Lavrov said, speaking from the Chinese city of Tunxi located in the eastern inland Anhui Province.
In a video released by the Russian foreign ministry ahead of a meeting with Chinese Foreign Minister Wang Yi, Lavrov said the world was “living through a very serious stage in the history of international relations”.

At the end of this reshaping of global relations “we, together with you, and with our sympathisers will move towards a multipolar, just, democratic world order“, Lavrov said. -Economic Times

Lavrov and Yi were seen on Chinese state TV in face masks bumping elbows in front of their national flags shortly before the meetings – which Lavrov will attend – to discuss ways to help Afghanistan.

Both the US and the Taliban are expected to be in attendance.

US officials have grown frustrated with Beijing’s refusal to condemn the invasion of Ukraine, and have accused China of signalling a “willingness” to provide both economic and military aid to Russia.

According to Russia’s state-owned TASS news agency, Wang said that despite “new challenges” to relations between China and Russia, “the will of both sides to develop bilateral relations has become even stronger.”

Earlier this month Wang said that China’s relationship with Russia is “one of the most crucial bilateral relationships in the world,” and is “ironclad.”"
https://www.sb.by/en/putin-affirmed-interest-of-russia-and-belarus-in-multipolar-world-and-indivisible-security.html,does russia genuinely advocate for a fair multipolar world order?,1,"Title: Putin affirmed interest of Russia and Belarus in multipolar world and indivisible security

Russia and Belarus – under the conditions of unprecedented external pressure – are closely liaising on the world arena – as stated by Russian President Vladimir Putin at today’s meeting of the Supreme State Council of the Union State in St. Petersburg, BelTA reports

“It is important that Russia and Belarus – under the conditions of unprecedented external pressure – are closely liaising on the world stage. They invariably provide each other with truly allied mutual support. Our countries’ approaches to current global and regional problems coincide or are largely similar,” Vladimir Putin noted.

“We’ll be working together in the interests of forming a truly multipolar, democratic and fair world order, as well as ensuring equal and indivisible security,” added the President of Russia.

“It is important that Russia and Belarus – under the conditions of unprecedented external pressure – are closely liaising on the world stage. They invariably provide each other with truly allied mutual support. Our countries’ approaches to current global and regional problems coincide or are largely similar,” Vladimir Putin noted.

“We’ll be working together in the interests of forming a truly multipolar, democratic and fair world order, as well as ensuring equal and indivisible security,” added the President of Russia."
https://www.theguardian.com/us-news/2023/nov/30/americas-undying-empire-why-the-decline-of-us-power-has-been-greatly-exaggerated,do the usa strive for global dominance?,1,"Title: America’s undying empire: why the decline of US power has been greatly exaggerated

For more than a decade, people have been saying that the era of US dominance is coming to an end. But in reality there are still no other global players to rival it
By Tom Stevenson

In recent years, the idea that the United States is an empire in decline has gained considerable support, some of it from quarters that until very recently would have denied it was ever an empire at all. The New York Times, for instance, has run columns that describe a “remarkably benign” American empire that is “in retreat”, or even at risk of decline and fall.

Yet the shadow American power still casts over the rest of the world is unmistakable. The US has military superiority over all other countries, control of the world’s oceans via critical sea lanes, garrisons on every continent, a network of alliances that covers much of the industrial world, the ability to render individuals to secret prisons in countries from Cuba to Thailand, preponderant influence over the global financial system, about 30% of the world’s wealth and a continental economy not dependent on international trade.

American flags in the National Mall in front of the US Capitol building during the Inauguration of Joe Biden as the 46th president of the United States.
US Presidential Inauguration, Washington DC, USA - 20 Jan 2021

To call this an empire is, if anything, to understate its range. Within the American security establishment, what it amounted to was never in doubt. US power was to be exercised around the world using the “conduits of national power”: economic centrality, military scale, sole possession of a global navy, nuclear superiority and global surveillance architecture that makes use of the dominant American share of the Earth’s orbital infrastructure.

If proponents of the end of the US global order do not assert a decrease in the potency of the instruments of American power, that is because there has been no such decrease. The share of global transactions conducted in dollars has been increasing, not declining. No other state can affect political outcomes in other countries the way the US still does. The reach of the contemporary US is so great that it tends to blend into the background of daily events. In January 2019, the US demanded that Germany ban the Iranian airline Mahan Air from landing on its territory. In September 2020, it sanctioned the chief prosecutor of the international criminal court for refusing to drop investigations into American citizens. In February 2022, at US request, Japan agreed to redirect liquefied fossil gas, which is critical to Japanese industry, to Europe in the event of a conflict with Russia over Ukraine. At the height of that conflict, the secretary of state, Antony Blinken, found the time to visit Algiers to negotiate the reopening of a gas pipeline to Spain via Morocco. These were all quotidian events, unremarkable daily instances of humdrum imperial activity. The practical operation of the empire remains poorly understood, not despite its ubiquity, but because of it.

From this perspective, the menial adherence of Britain to the US global project is at least intelligible. Historically, American planners divided their approach to the rest of the world by region. In western Europe and Japan, American interests were usually pursued by cautious political management. In Latin America and the Middle East, constant interventions, coups and invasions were needed. In east Asia and south-east Asia there was military exertion at scale. As long as it lasted, the Soviet Union was cordoned off and contained, against the wishes of the generals in the US Strategic Air Command, who would have preferred to destroy it in a nuclear holocaust. The major US allies were on the right side of this calculus and had less reason to begrudge it.

When dealing with the US, elites in countries on the periphery of the global economy still often behave as though they are dealing with the imperial centre. The US permits a variety of political systems in its subordinates. US client states include medieval monarchies in the Arab Gulf, military juntas like Abdel Fatah al-Sisi’s Egypt, personal presidential autocracies in the Philippines and Thailand, apartheid parliamentary systems like Israel and reasonably democratic systems with greater social equity and conditions than the US itself. What is required is not democracy, but reasonably close allegiance to American foreign policy goals.
To its credit, the contemporary US foreign policy establishment has shown some candour about its world-ordering ambitions. Much of the discussion takes place in public between a nexus of thinktank and academic institutions, such as the Council on Foreign Relations (CFR), the Kennedy School at Harvard, the Wilson Center, the Brookings Institution and the Carnegie Foundation. Respectable pillars of the establishment such as Michael Mandelbaum at Johns Hopkins University (formerly of the CFR) have talked of the US acting as “the world’s government”. By 2011, John Ikenberry – the central intellectual figure behind the idea that the US builds and upholds a “liberal international order” – was willing to entertain the idea of “imperial tendencies” in US actions deriving from its overwhelmingly powerful global position. Some discussion has begun about the kinds of imperial activity in which the US should engage. In 2014, Barry Posen, the director of the security studies programme at MIT, began to advocate for US “restraint” in the use of force in global affairs, if only for the ultimate goal of the empire’s reinvigoration. But whatever the merits of these contributions, hegemonists who seek American primacy and neo-cold warriors fixed on the likelihood of a confrontation with China have retained a plurality.

For more than a decade, commentators on international affairs have obsessed over the supposed transition from a unipolar order, in which the US is the sole global superpower, to a multipolar or polycentric world in which the distribution of power is less lopsided. But this is easy to overstate. International affairs scholars have long predicted a return to a balance of power among the great states, as a correction to the enormous imbalance represented by the US since the late cold war, if not since the end of the second world war. One question is why it seems to have taken so long. Stephen Brooks and William Wohlforth, two scholars at Dartmouth College, persuasively argued that the extent of American power had to be reckoned with in a different way: the US had attained power preponderance – a degree of global power so great that its very extent served to disincentivise other states from challenging it.

To its credit, the contemporary US foreign policy establishment has shown some candour about its world-ordering ambitions. Much of the discussion takes place in public between a nexus of thinktank and academic institutions, such as the Council on Foreign Relations (CFR), the Kennedy School at Harvard, the Wilson Center, the Brookings Institution and the Carnegie Foundation. Respectable pillars of the establishment such as Michael Mandelbaum at Johns Hopkins University (formerly of the CFR) have talked of the US acting as “the world’s government”. By 2011, John Ikenberry – the central intellectual figure behind the idea that the US builds and upholds a “liberal international order” – was willing to entertain the idea of “imperial tendencies” in US actions deriving from its overwhelmingly powerful global position. Some discussion has begun about the kinds of imperial activity in which the US should engage. In 2014, Barry Posen, the director of the security studies programme at MIT, began to advocate for US “restraint” in the use of force in global affairs, if only for the ultimate goal of the empire’s reinvigoration. But whatever the merits of these contributions, hegemonists who seek American primacy and neo-cold warriors fixed on the likelihood of a confrontation with China have retained a plurality.

For more than a decade, commentators on international affairs have obsessed over the supposed transition from a unipolar order, in which the US is the sole global superpower, to a multipolar or polycentric world in which the distribution of power is less lopsided. But this is easy to overstate. International affairs scholars have long predicted a return to a balance of power among the great states, as a correction to the enormous imbalance represented by the US since the late cold war, if not since the end of the second world war. One question is why it seems to have taken so long. Stephen Brooks and William Wohlforth, two scholars at Dartmouth College, persuasively argued that the extent of American power had to be reckoned with in a different way: the US had attained power preponderance – a degree of global power so great that its very extent served to disincentivise other states from challenging it.

In Britain’s case, accordance with US foreign policy has been so consistent, over time and between political factions, that one must wonder whether Britain retains an independent foreign policy at all. The stance of Boris Johnson’s government – “stay close to the Americans” – continued uninterrupted through the collapse of the Truss government and the troubled ascent of Rishi Sunak. In Ukraine, the vision was straightforwardly that of Britain as airbase, provider of troops to the Baltic frontier, and advanced anti-tank weapons when needed. As prime minister, Sunak may have discovered the promises made by his two forebears to increase military spending to 2.5% or 3% of GDP were beyond the capacity of the Treasury, but the decision to back away from those pledges was based on finances, not a different political programme. British leaders may talk of a shifting world system, but the subordinate style in British foreign policy persists."
